70	IJCM	International Journal of Computer Mathematics	http://taylorandfrancis.metapress.com/openurl.asp?genre=journal&issn=0020-7160
72	IJCIS	International Journal of Cooperative Information Systems	http://www.worldscinet.com/ijcis/ijcis.shtml
73	IJFCS	International Journal of Foundations of Computer Science	http://www.worldscinet.com/journals/ijfcs/ijfcs.shtml
74	IJHCI	International Journal of Human-computer Interaction	http://www.leaonline.com/loi/ijhc
75	IJMMS	International Journal of Human-computer Studies / International Journal of Man-machine Studies	http://www.elsevier.com/locate/issn/1071-5819
76	IJIGS	International Journal of Intelligent Games & Simulation	http://www.scit.wlv.ac.uk/~cm1822/ijigs.htm
77	IJHIS	International Journal of Hybrid Intelligent Systems	http://www.iospress.nl/loadtop/load.php?isbn=14485869
78	IJNS	International Journal of Neural Systems	http://ejournals.wspc.com.sg/journals/ijns/ijns.shtml
79	IJPP	International Journal of Parallel Programming	http://www.wkap.nl/journalhome.htm/0885-7458
80	IJSEKE	International Journal of Software Engineering and Knowledge Engineering	http://ejournals.wspc.com.sg/journals/ijseke/ijseke.shtml
81	IJRR	International Journal of Robotic Research	www.ijrr.org/
82	IJUFKS	International Journal of Uncertainty, Fuzziness and Knowledge-based Systems	http://www.worldscinet.com/ijufks/ijufks.shtml
83	IJWET	International Journal of Web Engineering and Technology	http://www.inderscience.com/browse/index.php?journalCODE=ijwet
84	JWSR	International Journal of Web Services Research	http://www.idea-group.com/journals/details.asp?id=4138
85	TOIT	ACM Transactions on Internet Technology	http://www.acm.org/toit/
87	IT	Information Technology	http://www.oldenbourg-verlag.de/wissenschaftsverlag/it-information-technology/16112776
88	SCJAPAN	Systems and Computers in Japan	http://www.interscience.wiley.com/jpages/0882-1666/
89	JACM	Journal of The ACM	http://www.acm.org/jacm/
90	JAL	Journal of Algorithms	http://www.sciencedirect.com/science/journal/01966774
91	JANCL	Journal of Applied Non-classical Logics	http://www.irit.fr/JANCL/
92	JAT	Journal of Approximation Theory	http://www.math.ohio-state.edu/JAT/
93	JAIR	Journal of Artificial Intelligence Research	http://www.cs.washington.edu/research/jair/home.html
94	JALC	Journal of Automata, Languages and Combinatorics	http://www.jalc.de/
95	JAR	Journal of Automated Reasoning	http://www.wkap.nl/journalhome.htm/0168-7433
96	JCSC	Journal of Circuits, Systems, and Computers	http://www.worldscinet.com/jcsc/jcsc.shtml
97	JCO	Journal of Combinatorial Optimization	http://www.springer.com/mathematics/numbers/journal/10878
98	JCT	Journal of Combinatorial Theory	http://www.elsevier.com/locate/jcta
99	JCD	ACM Journal of Computer Documentation	http://www.acm.org/jcdl/jcdl01/
100	JCAL	Journal of Computer Assisted Learning	http://jcal.info/
101	JCISE	Journal of Computing and Information Science in Engineering	http://asudesign.eas.asu.edu/links/journal/index.html
102	JCSS	Journal of Computer and System Sciences	http://www.sciencedirect.com/science/journal/00220000
103	JCMC	Journal of Computer-mediated Communication	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1083-6101
104	JCST	Journal of Computer Science and Technology	http://jcst.ict.ac.cn/
105	JCS	Journal of Computer Security	http://www.mitre.org/public/jcs/
106	JOC	Journal of Cryptology	http://link.springer.de/link/service/journals/00145/index.htm
107	JDM	Journal of Database Management	http://www.idea-group.com/journals/details.asp?id=198
108	JODI	Journal of Digital Information	journals.tdl.org/jodi/
109	JDA	Journal of Discrete Algorithms	http://www.sciencedirect.com/science/journal/15708667
110	TOCE/JERIC	ACM Transactions on Computing Education / ACM Journal of Educational Resources in Computing	http://www.acm.org/pubs/jeric/
111	JECR	Journal of Electronic Commerce Research	http://www.csulb.edu/web/journals/jecr/
113	JEA	ACM Journal of Experimental Algorithms	http://www.jea.acm.org/
114	JETAI	Journal of Experimental and Theoretical Artificial Intelligence	http://www.tandf.co.uk/journals/tf/0952813X.html
115	JFLP	Journal of Functional and Logic Programming	http://danae.uni-muenster.de/lehre/kuchen/JFLP/
116	JFP	Journal of Functional Programming	http://journals.cambridge.org/action/displayJournal?jid=JFP
117	JGAA	Journal of Graph Algorithms and Applications	http://jgaa.info/
118	GRID	Journal of Grid Computing	http://www.kluweronline.com/issn/1570-7873/contents
119	HEURISTICS	Journal of Heuristics	http://www.kluweronline.com/issn/1381-1231
120	EIK	Journal of Information Processing and Cybernetics / Elektronische Informationsverarbeitung Und Kybernetik	
121	JISE	Journal of Information Science and Engineering	http://www.iis.sinica.edu.tw/page/jise/Introduction.html
123	JLP	The Journal of Logic and Algebraic Programming	www.elsevier.com/locate/jlap
124	LOGCOM	Journal of Logic and Computation	http://www.oup.co.uk/jnls/list/logcom/
125	JOLLI	Journal of Logic, Language and Information	http://www.wkap.nl/journalhome.htm/0925-8531
126	JMLR	Journal of Machine Learning Research	http://www.jmlr.org/
127	JMMA	Journal of Mathematical Modelling and Algorithms	http://www.kluweronline.com/issn/1570-1166/
128	JOOP	Journal of Object-oriented Programming	
129	JOT	Journal of Object Technology	http://www.jot.fm/
130	JPDC	Journal of Parallel and Distributed Computing	http://www.sciencedirect.com/science/journal/07437315
131	JPL	Journal of Programming Languages	
132	JQL	Journal of Quantitative Linguistics	http://www.informaworld.com/openurl?genre=journal&issn=09296174
133	ACJ	Journal of Research and Practice in Information Technology	http://www.jrpit.acs.org.au
134	SCHEDULING	Journal of Scheduling	http://www.kluweronline.com/issn/1094-6136
135	SMR	Journal of Software Maintenance and Evolution: Research and Practice	http://www.interscience.wiley.com/jpages/1532-060X/
136	JSC	Journal of Symbolic Computation	http://www.elsevier.com/locate/issn/0747-717
137	JSYML	Journal of Symbolic Logic	https://www.aslonline.org/journals-journal.html
138	JSS	Journal of Systems and Software	www.elsevier.com/locate/jss
139	JSI	Journal of Systems Integration	http://www.wkap.nl/journalhome.htm/0925-4676
140	JAIS	Journal of The Ais	http://jais.aisnet.org/
141	JASIS	Journal of The American Society for Information Science and Technology	http://www.asis.org/jasist.html
142	JBCS	Journal of The Brazilian Computer Society	www.scielo.br/jbcos
143	J.UCS	Journal of Universal Computer Science	http://www.jucs.org/
144	VLC	Journal of Visual Languages and Computing	http://www.sciencedirect.com/science/journal/1045926X
145	JVCA	Journal of Visualization and Computer Animation	http://www3.interscience.wiley.com/cgi-bin/jtoc?ID=5499
146	JWE	Journal of Web Engineering	http://www.rintonpress.com/journals/jwe/
147	SIAMCOMP	Siam Journal on Computing	http://www.siam.org/journals/sicomp/sicomp.htm
148	JODS	Journal on Data Semantics	http://www.springer.com/computer/lncs?SGWID=0-164-2-98767-0
149	SIAMDM	Siam Journal on Discrete Mathematics	http://www.siam.org/journals/sidma/sidma.htm
150	KBS	Knowledge Based Systems	http://www.sciencedirect.com/science/journal/09507051
151	KAIS	Knowledge and Information Systems	www.cs.uvm.edu/~kais/
152	DATAMINE	Data Mining and Knowledge Discovery	http://www.wkap.nl/journalhome.htm/1384-5810
153	DKE	Data & Knowledge Engineering	www.elsevier.com/locate/datak
155	KI	Künstliche Intelligenz	http://www.kuenstliche-intelligenz.de
156	AIL	Artificial Intelligence and Law	http://www.wkap.nl/prod/j/0924-8463
157	ML	Machine Learning	http://www.springer.com/computer/ai/journal/10994
158	LOPLAS	ACM Letters on Programming Languages and Systems	http://loplas.acm.org/
159	LIBT	Library Trends	http://muse.jhu.edu/journals/library_trends/
160	COLI	Computational Linguistics	http://www.mitpressjournals.org/loi/coli
161		Higher-order and Symbolic Computation / Lisp and Symbolic Computation	http://www.wkap.nl/journalhome.htm/1388-3690
162	LOGIN	Log in	http://www.log-in-verlag.de/index.html
