187650	Mohammed H. I. Dore		5456
188897	Isabel Lopes Nunes		3666
189082	Wijnand A. Ijsselsteijn		4012
189298	Robert M. May		13881
189515	John M. Quigley		566
191416	Bruce Edmonds		12745
192650	Geert Hofstede		18638
193095	Raymond Lister		18598
195703	J. Howard Johnson		17249
195787	Jonathan Corcoran		18327
195910	Ida Sim		887
197653	Robert J. Gebotys		19115
198556	Edward Nelson		14253
199083	Walter W. Powell		405
199183	Rod McCrea		18327
199221	Alex S. Taylor		3251
200244	Leslie Haddon		12174
201067	Andreas Krebs		17903
201299	Bart Nooteboom		18638
202462	Hyun-Soo Kim		13349
202493	Alistair Knott		13843
202577	Ed Diener		687
203118	Virginia King		6503
203270	Stephen Houghton		18646
204578	George A. Barnett		16729
206573	Arijit Mukherjee		10065
207359	Chong Kee Yip		6704
208096	Liam J. Bannon		2615
208160	Matthew T. Mason		964
208534	Stewart W. Wilson		17155
210724	Michelle J. Budig		20345
210773	Lawrence M. Kahn		581
212448	Michael J. Fischer		19433
212836	Rand J. Spiro		687
213424	Kathleen M. Carley		964
213531	Steven G. Clarke		16766
213728	Bruce L. Benson		487
215213	Richard W. Robins		16729
215903	Stephen W. Draper		9148
216274	Sabah U. Randhawa		3718
219137	Wim H. J. Meeus		2942
221098	Emiel Krahmer		18638
221870	Karen Clarke		12311
224394	Marshall Scott Poole		657
226817	David Clarke		11803
227931	Martin J. Savage		18939
228379	Avelino J. Gonzalez		16745
229139	Harald Eufinger		14749
232185	Harry K. T. Wong		6206
233051	Gil Weinberg		9014
233807	Dale Jacquette		17443
234126	Emanuel Tirosh		22001
234783	Jeff Fleming		14595
235625	Phillip B. Levine		18981
236533	Randolph M. Nesse		17233
237712	Michael D. Ward		14034
238275	David Bailey		406
238339	Jef Huisman		2426
238976	Elsie Siu King Chan		4225
241964	Robert A. Wilson		14456
243812	Harry G. Murray		5440
244863	Natalie K. Person		14589
245029	K. Brad Wray		13842
246411	Thomas J. Holmes		17249
246894	Francisco J. Varela		0
247539	John L. Bowman		12781
250008	Judy E. Scott		18909
251834	Bradley R. A. Wilson		16671
253193	Dimitris Karlis		4894
253742	Ian D. Watson		12311
254394	Leopoldina Fortunati		17907
256823	Eduard Ballarin		2820
258658	William H. Wilson		600
260407	David Chandler		566
261778	Jamie Garvey		5253
261908	Michael Brennan		7104
263361	John P. Wann		14591
263952	Joydeep Bhattacharya		10102
264194	James X. Dempsey		20515
264289	Raymond J. G. M. Florax		14369
264371	Jong-il Park	박종일	9427
268240	Tommy Y. Lo		6206
270430	David A. Bessler		657
272212	Ingrid Nielsen		12781
274387	Andrew Hill		12093
274426	Gary King		446
275593	Johanna I. Westbrook		18161
276184	Seumas Miller		4632
277049	Michael R. Frey		5539
277825	Geoffrey C. Bowker		737
278220	Martin Lea		12311
278337	Amy S. Weinberg		710
278802	Li-Hui Chen		3702
279950	Albert Pilot		2942
281519	Emily Gray		3118
281596	George S. Tavlas		20685
282034	Marvin D. Krohn		4467
285337	Andrew J. L. R Dawson		3157
285899	John C. Whitehead		4658
288236	Daniel J. Graham		10527
292013	Richard Steven Rosenberg		20354
292651	Tony F. Chan		16766
293351	Ron J. Johnston		5453
293400	Michael Mcaleer		2433
294539	Florian Schulz		16766
297147	Sung-Hee Lee		11851
297682	Mario J. Rizzo		471
298828	Samuel Bowles		14873
299122	William R. Hersh		13725
299359	danah boyd		20355
300348	Domenico Parisi		0
300512	Michael L. Ross		16766
300661	Woodrow Barfield		719
301324	Toby Howard		12311
302005	Bernard J. Schroer		16543
302214	Gunther Schiefer		2039
302841	Elizabeth Spencer		16811
303891	Christina Bergh		9277
304670	David E. Bloom		446
305355	Jack C. Barnes		18543
305779	Philip J. Stone		446
306113	Richard Mayer		661
306689	Bent Jesper Christensen		4867
307875	Gerald Schneider		17629
309914	Lars R. Bergman		2747
310122	Yukio-Pegio Gunji		11662
311035	J. A. Campbell		5655
311550	Matthew O. Jackson		405
312979	Karen L. Murphy		16063
313201	Sheng Li	李生	9733
313231	Paul Hekkert		16469
315069	Jennifer Robinson		18533
316681	Koen Vanhoof		17023
317531	Martin Hassel		2747
317768	Scott P. McDonald		14286
318906	Richard M. Smith		7148
319608	Susan E. Brennan		15818
319658	George B. Kleindorfer		14286
320300	Tom R. Tyler		471
320392	Karen L. Palmer		427
320510	Stephen E. Fienberg		14286
321036	Gail F. Melson		14369
321365	Michael J. Steiner		719
323667	Stephen W. Baron		14475
325152	Andrea Fontana		17570
326664	Hui Liu		20535
327259	Matthew D. Shapiro		17233
336189	Susan T. Dumais		20355
336228	C. Kirk Hadaway		0
338779	John R. Crawford		4133
339971	Emma L. Tonkin		20514
340855	Yuan Yan Chen		8903
340894	P. John Clarkson		3120
341651	Thomas Luckmann		17629
343417	Martin Staudt		9771
343663	Bruce F. Pennington		3445
343676	Israel M. Kirzner		471
346723	Vincent Jan Arkesteijn		18614
349985	Peter Triantafillou		18243
351049	Mark Granovetter		405
351079	Robert W. Kubey		14761
352165	John B. Shoven		405
354355	Eric H. S. Lee		13832
356002	John J. McCarthy		20345
359406	Thomas D. Willett		6054
362353	Richard A. Wright		3146
362363	Phil M. E. Waite		3264
363157	Cristina Bicchieri		18264
363407	Susan C. Herring		10565
366256	Sara Diamond		0
369446	John Campbell		446
369911	John M. Wallace		18939
370171	Michael L. Dennis		0
372444	Jonathan Stoeckel		3264
373973	Daniel P. Loucks		581
374481	James G. Anderson		446
374772	Katherine Faust		16759
376821	Anselm Strauss		17443
377864	James M. Nyce		3362
378648	Gary Higgs		9150
379421	Ronald J. Prinz		3955
380383	Jan Theeuwes		18877
383514	Wen-Hong Chen		814
383621	Richard B. Freeman		446
385942	Dick den Hertog		18638
386554	Lynne E. Bilston		18161
388716	Martin J. O'Connor		405
388851	Mark Andrew		6201
389444	Marius Theriault	Marius Thériault	17129
392143	Rajeev H. Dehejia		16473
392860	Heng Li	李恒	14199
393837	Helen Pain		7306
393918	David B. Mertz		20345
394058	John Geanakoplos		19433
397068	Ian W. Jones		3520
400470	Alan James		11428
400798	Peter C. B. Phillips		0
402181	Kent S. Lindqvist		2969
402442	Mettina Veenstra		2400
404169	Andrej Mrvar		17655
404798	Steven M. Becker		705
405476	Seunghee Lee	이승희	15511
405954	Gary L. Lilien		14286
406922	Niels-ole Bernsen		4001
408496	Robyn Benson		12781
408502	Andrew T. Duchowski		6253
409762	Richard M. Tolman		17233
411320	Laura R. Winer		212
412411	Ron M. Simpson		9984
413072	Andrew K. Rose		566
414940	Lydia Plowman		7919
415434	John M. Carroll		14286
415700	Edward I. Altman		471
416457	Alina Lazar		16476
417152	Bob Remington		3146
418814	Howard E. Aldrich		719
420594	Joo-Young Lee		11899
420611	Pamela Enderby		15196
420717	Kevin P. Grant		2288
421091	Philip E. Agre		16766
424296	Philip Hans Franses		2433
427479	Teun A. van Dijk		18270
432070	Robert Alexander Sader		2172
432205	Simon Parsons		5775
432959	Mancur Olson		710
433597	John D. Jackson		12093
437534	Robin Mansell		12174
438813	Andry Rakotonirainy		14487
440500	Natalie Sandrine Glance		3276
440512	Herbert E. Scarf		19433
442122	Ankur Gupta		12175
442311	Samson W. Tu		405
444576	Emile Benoit		1856
446418	H. Jaap Van Den Herik		0
447360	Andrew Wolfe		964
447483	Kim Viborg Andersen		5728
449410	Phillip Bonacich		16766
449467	Chris Barker		18706
449487	David W. Eby		17233
449821	Mark H. Hansen		16766
452396	Melanie M. Wall		6375
452896	Joan Richardson		14641
453783	Jo Coldwell		6898
456785	Aaron Smith		20355
457295	Godfrey Gardner		17684
457429	Bryan Pfaffenberger		9534
460820	Paul Slovic		18222
461184	Alan H. S. Chan		6206
465297	Saul I. Gass		710
467374	Harry Anthony Patrinos		20550
468332	Antal van den Bosch		18638
473210	David B. Robins		11451
473272	David N. Morley		420
476268	Cynthia A. Brewer		14286
477092	Richard James White		16371
478598	Ian Roberts		12175
479262	Ina Wagner		16513
479763	James L. Massey		3268
482232	Moira Halliday		18520
484522	Michelle J. White		775
485396	Rajan Batta		929
485668	Alexander Tabarrok		9179
485694	Tracy Hall		5477
486016	Wendy Hall		3146
486814	Philip E. Tetlock		566
486878	Christopher M. White		377
486994	Johanna Moore		7306
489867	David L. Andrews		710
493505	Richard D. McKelvey		5630
494486	Ken Thompson		3249
495597	Michael J. Ashworth		964
498096	Uwe E. Reinhardt		14253
498935	Berthold B. Wein		14771
499120	Yu-Wei Lin		14827
501247	Michelle L. L. Honey		4888
501969	James Rule		13832
505004	Madeline Zavodny		4301
505854	Shigeru Kiritani		1311
506169	Valeria De Castro		18348
506332	Teresa Moore		13484
506463	Nelson C. Mark		13173
507696	Makoto Kobayashi	小林麻己人	16426
509105	Paul Conal Winters		4555
513345	Harry J. Holzer		9095
514632	Ole Hanseth		2460
517793	Robert L. Wears		16955
519754	Stanley Wasserman		687
520593	Brian P. Flannery		0
522177	Erik Demeulemeester		11803
522624	Allan M. Collins		13710
523531	Jordan J. Louviere		18598
524130	Michael Sean Baker		16371
525312	David G. Clayton		3120
525469	David Alex Lamb		5253
526061	John C. Murphy		0
528884	Daniel H. Simon		17443
529830	W. Erwin Diewert		14919
530008	Christian Heath		3144
530044	Andrew C. Heath		15196
531276	David F. Bradford		14253
531456	Kelly John Ward		19285
531944	Kevin Crowston		15979
533431	Ruben Van Wendel De Joode		16469
533504	Simon P. Anderson		9534
536095	Mike Thelwall		19117
536300	David Pasquier		0
541568	O. Fischer		0
541839	Eliane Segers		14738
542696	John F. Ermisch		7791
544883	Michael Wellman		17233
549188	Ralph Schroeder		13881
551149	Andreas S. Schulz		568
551376	Herre H. van Oostendorp		2942
552751	Peter T. Saunders		18161
553405	Daniel W. Baack		3445
553794	Martin Kenney		16729
554019	Luciano Floridi		9609
555068	Douglas O. Staiger		6857
555185	Danuta Z. Loesch		11965
555256	John N. Edwards		6093
558191	Philip Arestis		3120
558983	Richard Harper		20355
559347	Stefano Federici		17757
559490	Wenjian Yu	喻文健	16401
561228	C. F. Sirmans		487
563900	Chun-Yan Wang		5274
566541	Elinor Ostrom		10565
567223	Eliot R. Smith		10565
567941	Andrew Ang		6375
569764	Andre Lucas		18877
571150	Y. Tina Lee		402
571206	David Pretel O’Sullivan		4888
572589	Rob Kling		6368
572727	Shigeru Nakayama		1311
575548	Yasuo Tanaka	田中康男	1226
576299	Deborah A. Boehm-Davis		9179
577958	Charles M. Ess		4867
579413	Kenneth M. Hodge		13843
579702	Robert Sugden		16881
580675	Stephen A. Myers		7791
585200	John Yinger		15979
585956	Mark Schreiner		19321
586311	James Cornford		1403
586784	John Robinson		17062
588642	Tariq Ur Rahman		708
589771	Marc J. Ventresca		13881
593967	Feng Pan		5578
595261	Wes Sharrock		12311
596153	Joris Hulstijn		18877
596719	Malcolm C. Harrison		12019
597082	Alice E. Smith		4880
597514	David G. Hendry		18939
599423	Federico Girosi		456
599855	David A. Carlson		511
601448	Norman Alm		7144
602909	Juan Carlos De Martin		17148
603292	Joost N. Kok		2390
604536	Maureen P. Donnelly		929
605323	Greg Carlson		14665
608821	Varun Gauri		20550
610155	John Hurst		12781
613338	David M. Chen		405
613673	Jannis Kallinikos		12174
