1960471	0	224394	Marshall Scott Poole	687
1977821	0	17900538	Marlene Behrmann	0
1977821	1	1743356	Terry Lieberthal	0
1980595	0	42231735	Robert T. Craig	0
1980595	1	42231736	Karen Tracy	0
2002177	0	1018703	PAUL COMISKY	0
2002177	1	42232823	JENNINGS BRYANT	0
2006316	0	1030343	R. E. Rice	0
2006316	1	51261067	E. M. Rogers	0
2006653	0	1188615	ANN HILL DUIN	17249
2006673	0	414940	L. Plowman	0
2007568	0	52641478	W. J. Hardcastle	0
2007568	1	22763839	F. E. Gibbon	0
2007568	2	31635	W. Jones	0
2012144	0	256613	Frank Biocca	0
2013010	0	927985	Jay David Bolter	0
2027050	0	55088840	GARY GUMPERT	0
2027050	1	5953027	SUSAN J. DRUCKER	0
2039191	0	44453662	Kathryn Riley	0
2045203	0	17946297	Maria Elizabeth Grabe	10565
2045203	1	3471979	Matthew Lombard	16128
2045203	2	52537061	Robert D. Reich	12400
2045203	3	5854	Cheryl Campanella Bracken	16128
2045203	4	45849598	Theresa Bolmarcich Ditton	18763
2047177	0	43226578	T. Berg	0
2053454	0	2686370	Joseph B. Walther	13470
2053546	0	2686370	JOSEPH B. WALTHER	0
2053546	1	147737	JUDEE K. BURGOON	0
2057313	0	19652144	Louis Leung	6704
2057313	1	1696076	Ran Wei	6704
2057337	0	19652144	Louis Leung	0
2057337	1	1696076	Ran Wei	0
2057342	0	10681718	Zizi Papacharissi	0
2057342	1	44270487	Alan Rubin	0
2060636	0	54027764	Akiba A. Cohen	0
2064321	0	6921304	Janet Fulk	0
2064321	1	3299433	Andrew J. Flanagin	0
2064321	2	7371969	Michael E. Kalman	0
2064321	3	10574115	Peter R. Monge	0
2064321	4	2921267	Timothy Ryan	0
2066186	0	1566100	Steven A. McCornack	10065
2066186	1	4243725	Timothy R. Levine	600
2066186	2	42435463	Kelly Morrison	10065
2066186	3	10682981	Maria Lapinski	10065
2068846	0	28556572	J. Holmes	0
2073078	0	49817854	L. LEUNG	0
2073228	0	2686370	JOSEPH B. WALTHER	0
2073228	1	52741201	JEFFREY F. ANDERSON	0
2073228	2	35864752	DAVID W. PARK	0
2076092	0	23395699	Alison Wray	0
2076412	0	18008150	JOHN STORCK	0
2076412	1	728164	LEE SPROULL	0
2082696	0	6921304	JANET FULK	0
2082696	1	42237385	CHARLES W. STEINFIELD	0
2082696	2	47520953	JOSEPH SCHMITZ	0
2082696	3	42981388	J. GERARD POWER	0
2092208	0	23579771	Pat Mirenda	0
2092208	1	54352966	David Beukelman	0
2094287	0	9116255	MARK L. KNAPP	0
2094287	1	36898102	RODERICK P. HART	0
2094287	2	51947106	HARRY S. DENNIS	0
2095084	0	42238087	Andrew Swiffin	0
2095084	1	50414535	John Arnott	0
2095084	2	44925363	J. Adrian Pickering	0
2095084	3	130289	Alan Newell	0
2097221	0	42279415	P. MEDWAY	0
2097736	0	54095321	Catherine Crockford	0
2097736	1	21202171	Ruth Lesser	0
2098384	0	3299433	A. Flanagin	0
2098384	1	3489182	M. Metzger	0
2098778	0	992487	Cheryl Geisler	0
