244153	9	An Asynchronous Calculus for Generative-Reactive Probalistic Systems
245265	9	On Message Sequence Graphs and Finitely Generated Regular MSC Languages
246640	9	On the Complexity of Bisimulation Problems for Basic Parallel Processes
247958	9	A Statically Allocated Parallel Functional Language
248708	9	Round-Optimal and Abuse Free Optimistic Multi-party Contract Signing
252599	9	Unlearning Helps
252934	9	Reasoning about Idealized ALGOL Using Regular Languages
253333	9	A Graph Rewriting Semantics for the Polyadic Calculus
261298	9	Testing Acyclicity of Directed Graphs in Sublinear Time
261947	9	Pseudorandomness
414883	9	An Optimal Online Algorithm for Bounded Space Variable-Sized Bin Packing
601776	9	The Definition of a Temporal Clock Operator
601780	9	Intersection of Regular Languages and Star Hierarchy
601796	9	Pushdown Automata and Multicounter Machines, a Comparison of Computation Modes
601798	9	Introduction: Workshop on Boolean Functions and Applications
601831	9	Min-wise Independent Permutations: Theory and Practice
601834	9	Two-Way Alternating Automata and Finite Models
601842	9	Hyperbolic Recognition by Graph Automata
601849	9	A Competitive Algorithm for the General 2-Server Problem
601851	9	Exponential Structures for Efficient Cache-Oblivious Algorithms
601852	9	Similarity Matrices for Pairs of Graphs
601853	9	Approximation Algorithms for Partial Covering Problems
601855	9	Testing Labelled Markov Processes
601862	9	Correspondence Principles for Effective Dimensions
601889	9	Labeling Schemes for Weighted Dynamic Trees
601892	9	Some Issues Regarding Search, Censorship, and Anonymity in Peer to Peer Networks
601897	9	Finding a Path of Superlogarithmic Length
601903	9	The Cell Probe Complexity of Succinct Data Structures
601904	9	Hypergraphs in Model Checking: Acyclicity and Hypertree-Width versus Clique-Width
601913	9	A Graph-Grammar Based Approach to the Specification of Hypermedia Application Dynamics
601918	9	Improving Time Bounds on Maximum Generalised Flow Computations by Contracting the Network
601933	9	An Automata-Theoretic Completeness Proof for Interval Temporal Logic
601943	9	Multicommodity Flows over Time: Efficient Algorithms and Complexity
601947	9	Succinct Representations of Permutations
601950	9	A Polar Type System
601955	9	Efficient Generation of Plane Triangulations without Repetitions
601960	9	Nashification and the Coordination Ratio for a Selfish Routing Game
601965	9	Dynamic Algorithms for Approximating Interdistances
601985	9	One-Probe Search
601995	9	Alternating the Temporal Picture for Safety
602000	9	Generalized Rewrite Theories
602003	9	Optimal Net Surface Problems with Applications
602012	9	The SPQR-Tree Data Structure in Graph Drawing
602015	9	The Genomics Revolution and Its Challenges for Algorithmic Research
602025	9	Experimental Evaluation of Approximation Algorithms for the Minimum Cost Multiple-source Unsplittable Flow Problem
602030	9	Axiomatic Criteria for Quotients and Subobjects for Higher-Order Data Types
602041	9	Bialgebraic Modelling of Timed Processes
602052	9	MAX k-CUT and Approximating the Chromatic Number of Random Graphs
602053	9	Paths Problems in Symmetric Logarithmic Space
602057	9	Model Checking and Testing Combined
602071	9	The Trace Coding Problem Is Undecidable
602076	9	Undecidability of Weak Bisimulation Equivalence for 1-Counter Processes
602082	9	On the Axiomatizability of Ready Traces, Ready Simulation, and Failure Traces
602083	9	Nondeterminism versus Determinism for Two-Way Finite Automata: Generalizations of Sipser's Separation
602091	9	Introduction: Workshop on Intersection Types and Related Systems (ITRS'00)
602098	9	Gales and the Constructive Dimension of Individual Sequences
602102	9	Preemptive Scheduling in Overloaded Systems
602104	9	Problems on RNA Secondary Structure Prediction and Design
602110	9	Sophistication Revisited
602113	9	Succinct Dynamic Dictionaries and Trees
602120	9	A Study of Integrated Document and Connection Caching
602122	9	Intersection Types and Topologies and Lambda Calculus
602125	9	Negation Elimination from Simple Equational Formulae
602163	9	Equivariant Syntax and Semantics
602166	9	Performance Analysis of UMTS Resource Allocation Strategies using TIPPtool
602171	9	Parsing Context-Sensitive NCE Graph Grammars
602172	9	CTL+ Is Complete for Double Exponential Time
602180	9	Molecular Assembly and Computation: From Theory to Experimental Demonstrations
602185	9	Restricted Branching Programs with Parity-Type Augmentations-Lower Bounds and Algorithms
602186	9	Optimal Cache-Oblivious Implicit Dictionaries
602195	9	Discrete Tomography: Reconstruction under Periodicity Constraints
602197	9	Characterizing Strongly Normalizing Terms of a Calculus with Generalized Applications via Intersection Types
602220	9	Branching-Time Probalistic Model Checking
602222	9	Optimal Approximation of Uniform Distributions with a Biased Coin
602230	9	Strong Bisimilarity and Regularity of Basic Process Algebra Is PSPACE-Hard
602234	9	Game Semantics: Achievements and Prospects
602242	9	A Testing Scenario for Probabilistic Automata
602252	9	Seamless Integration of Parallelism and Memory Hierarchy
602253	9	Knuth-Bendix Constraint Solving Is NP-Complete
602256	9	Secrecy in Untrusted Networks
602262	9	On the Construction of Reversible Automata for Reversible Languages
602265	9	Recognizing More Unsatisfiable Random 3-SAT Instances Efficiently
602270	9	Derandomization of a Parallel MIS Algorithm in a Linear Hypergraph
602276	9	Cache Oblivious Distribution Sweeping
602284	9	Introduction: The Fourth International Workshop on Randomization and Approximation Techniques in Computer Science
602290	9	Quantum Complexities of Ordered Searching, Sorting, and Element Distinctness
602299	9	Modelling with Partial Orders - Why and Why Not?
602305	9	On Generating All Minimal Integer Solutions for a Monotone System of Linear Inequalities
602306	9	An Intersection Inequality for Discrete Distributions and Related Generation Problems
602308	9	Online Load Balancing Made Simple: Greedy Strikes Back
602312	9	Improved Shortest Paths on the Word RAM
602328	9	Residual Languages and Probabilistic Automata
602329	9	Distributive Online Channel Assignment for Hexagonal Cellular Networks with Constraints
602333	9	Fast Verification of Any Remote Procedure Call: Short Witness-Indistinguishable One-Round Proofs for NP
602336	9	Generalized Framework for Selectors with Applications in Optimal Group Testing
602342	9	Improved Inapproximability Results for Vertex Cover on k -Uniform Hypergraphs
602343	9	Mixin Modules and Computational Effects
602345	9	On Equivalent Representations of Infinite Structures
602359	9	A Solvable Class of Quadratic Diophantine Equations with Applications to Verification of Infinite-State Systems
602361	9	On Families of Graphs Having a Decidable First Order Theory with Reachability
602363	9	Deterministic Radio Broadcasting
602366	9	An Intrinsic Semantics of Intersection Types
602373	9	Approximating Steiner k-Cuts
602375	9	Multicommodity Demand Flow in a Tree
602378	9	Quantum Communication Complexity
602381	9	Graph Transformation as a Conceptual and Formal Framework for System Modeling and Model Evolution
602383	9	A Note on Parallel Read Operations on Large Public Databases
602385	9	Lower Bounds for the Weak Pigeonhole Principle Beyond Resolution
602396	9	Semi-pullbacks and Bisimulations in Categories of Stochastic Relations
602398	9	On the Competitive Ratio for Online Facility Location
602403	9	Measuring the Probabilistic Powerdomain
602404	9	Synthesis of Uninitialized Systems
602406	9	Improved Approximation Algorithms for Minimum-Space Advertisement Scheduling
602428	9	Gossiping with Bounded Size Messages in ad hoc Radio Networks
602434	9	Constraint Programming and Graph Algorithms
602439	9	Average Bit-Complexity of Euclidean Algorithms
602449	9	Introduction: Graph Transformation and Visual Modeling Techniques
602451	9	A Distributed Abstract Machine for Safe Ambients
602461	9	Homogenization and the Polynominal Calculus
602474	9	Circular Arrangements
602479	9	Degree Distribution of the FKP Network Model
602494	9	Quick k-Median, k-Center, and Facility Location for Sparse Graphs
602495	9	Improved Lower Bounds on the Randomized Complexity of Graph Properties
602498	9	Scheduling Search Procedures
602499	9	A Banach-Mazur Computable But Not Markov Computable Function on the Computable Real Numbers
602502	9	The RPR2 Rounding Technique for Semidefinite Programs
602505	9	Approximation Schemes for Degree-Restricted MST and Red-Blue Separation Problem
602506	9	The Equivalence Problem of Finite Substitutions on ab*c, with Applications
602511	9	A Minimal System of Disjunctive Properties for Strictness Analysis
602520	9	LTL Is Expressively Complete for Mazurkiewicz Traces
602522	9	Solvability of Equations in Free Partially Commutative Groups Is Decidable
602535	9	Necessary and Sufficient Assumptions for Non-iterative Zero-Knowledge Proofs of Knowledge for All NP Relations
602537	9	Complete and Tractable Local Linear Time Temporal Logics over Traces
602541	9	Intersection Types and Properties of Lambda Terms
602556	9	Linear Time Algorithms on Chordal Bipartite and Strongly Chordal Graphs
602557	9	Quantitative Analysis of Probabilistic Lossy Channel Systems
602559	9	Random Numbers and an Incomplete Immune Recursive Set
602572	9	A Visual Modeling Technique for Controlling Graph Transformation
602593	9	Temporal Rewards for Performance Evaluation
602595	9	New Imperfect Random Source with Applications to Coin-Flipping
602597	9	On the Approximability of Average Completion Time Scheduling under Precedence Constraints
602599	9	Antirandomizing the Wrong Game
602600	9	Integrating Two Towers and GreatSPN
602601	9	Replication vs. Recursive Definitions in Channel Based Calculi
602613	9	Revisiting the Correspondence between Cut Elimination and Normalisation
602615	9	Improved Bounds and New Trade-Offs for Dynamic All Pairs Shortest Paths
602621	9	Decision Problems for Language Equations with Boolean Operations
602622	9	Introduction: International Workshop on Process Algebra and Performance Modelling
602629	9	The Nondeterministic Constraint Logic Model of Computation: Reductions and Applications
602645	9	Two-coloring Random Hypergraphs
602654	9	Amalgamation in CASL via Enriched Signatures
602666	9	A Simple Linear Time Algorithm for Computing a (2k-1)-Spanner of O(n1+1/k) Size in Weighted Graphs
602676	9	Hidden Pattern Statistics
602681	9	A New Method for Balancing Binary Search Trees
602694	9	The Star Problem in Trace Monoids: Reductions Beyond C4
602715	9	A PTAS for Distinguishing (Sub)string Selection
602732	9	Combinatorics and Algorithms on Low-Discrepancy Roundings of a Real Sequence
602733	9	On Complexity of Regular (1, +k)-Branching Programs
602736	9	Amalgamation of Transition Sequences in the PEPA Formalism
602746	9	Wavelength Routing of Uniform Instances in Optical Rings
602747	9	Finding Frequent Items in Data Streams
602748	9	All-Pairs Shortest Paths Computation in the BSP Model
602753	9	New Algorithms for Subset Query, Partial Match, Orthogonal Range Searching, and Related Problems
602754	9	Program Debugging and Validation Using Semantic Approximations and Partial Specifications
602760	9	Reasoning about Message Passing in Finite State Environments
602761	9	The Longest Common Subsequence Problem for Sequences with Nested Arc Annotations
602762	9	Improved Combinatorial Approximation Algorithms for the k-Level Facility Location Problem
602767	9	Bounded-Depth Frege Systems with Counting Axioms Polynomially Simulate Nullstellensatz Refutations
602769	9	Lower Bounds Are Not Easier over the Reals: Inside PH
602771	9	Parallel Machine Scheduling Problems with Controllable Processing Times
602772	9	Polynominal Time Approximation Schemes for General Multiprocessor Job Shop Scheduling
602779	9	Skew and Infinitary Formal Power Series
602780	9	Rational Transformations of Formal Power Series
602783	9	A Set-Theoretic Framework for Assume-Guarantee Reasoning
602784	9	Towards Quantitative Verification of Probabilistic Transition Systems
602802	9	Approximating Variance in Non-product Form Decomposed Models
602804	9	Pi2 cap Sigma2 equiv AFMC
602808	9	Flip-Pushdown Automata: k+1 Pushdown Reversals Are Better than k
602809	9	Solving the String Statistics Problem in Time O(n log n)
602815	9	Decoding of Interleaved Reed Solomon Codes over Noisy Data
602823	9	Spanning Trees with Bounded Number of Branch Vertices
602831	9	Axiomatising Divergence
602834	9	Solving the Robots Gathering Problem
602837	9	An Elementary Expressively Complete Temporal Logic for Mazurkiewicz Traces
602844	9	Genus Characterizes the Complexity of Graph Problems: Some Tight Results
602845	9	Efficient Testing of Hypergraphs
602850	9	On the Complexity of Resolution with Bounded Conjunctions
602862	9	Information Flow in Concurrent Games
602863	9	Permutation Editing and Matching via Embeddings
602868	9	Towards a Predictive Computational Complexity Theory
602869	9	Locally Commutative Categories
602873	9	What Entailment Can do for Type Theory
